type,indicator,confidence,packet_range_first_seen,notes
ip,192.236.155.230,HIGH,10876,Trickbot C2 HTTP port 80 — URIs /images/redbutton.png + /images/cutscroll.png + /ico/viodifot
ip,36.95.27.243,HIGH,2910,Trickbot gtag C2 port 443 — POST /rob87/…/90 and /tot108/…/90
ip,103.102.220.50,HIGH,3045,Trickbot gtag C2 failover port 443 — same rob87/tot108 URIs
ip,78.186.110.14,HIGH,11430,Trickbot non-standard port 447 — 2246 frames 2.3 MB sustained session
ip,91.83.88.122,HIGH,49204,Cobalt Strike HTTPS beacon from 10.5.26.132 — no SNI ~207s interval
ip,45.229.71.211,HIGH,10885,Cobalt Strike HTTPS beacon from 10.5.26.4 — no SNI ~207s interval
ip,37.228.70.134,HIGH,49202,Cobalt Strike HTTPS beacon from 10.5.26.132 — no SNI ~207s interval
ip,5.199.162.3,HIGH,22993,Cobalt Strike / BazarLoader HTTP C2 — hosts antivirusupdaty.com
ip,172.105.15.152,MEDIUM,49197,Unknown HTTPS — 48 frames 35 kB single session possible additional C2
ip,202.138.242.7,MEDIUM,49268,Unknown HTTPS — 27 frames from 10.5.26.132 no SNI
ip,5.202.120.150,LOW,,Unknown HTTPS — 6 frames possible C2 or CDN
ip,8.8.8.8,LOW,,Google DNS — confirms DNS not firewalled
domain,antivirusupdaty.com,HIGH,24097,Cobalt Strike / BazarLoader C2 — hundreds of GET /logo?hour=true + POST /as
domain,api.ip.sb,HIGH,6801,Post-infection public IP recon — TLS SNI confirmed
domain,api.ipify.org,HIGH,809,Post-infection public IP recon — GET /?format=text curl/7.74.0
domain,myexternalip.com,HIGH,14873,Post-infection public IP recon — GET /raw curl/7.69.1
domain,ipinfo.io,HIGH,10957,Post-infection public IP recon — GET /ip curl/7.76.0
domain,victorypunk.com,HIGH,28,Internal AD domain — DC hostname VICTORYPUNK-DC
uri,/rob87/<HOST>_W617601.<HASH>/90,HIGH,2910,Trickbot gtag rob87 C2 check-in — hostname and module hash in path
uri,/tot108/<HOST>_W617601.<HASH>/90,HIGH,13210,Trickbot gtag tot108 C2 check-in — DC infection campaign tag
uri,/images/redbutton.png,HIGH,5599,Trickbot beacon disguised as image — UA WinHTTP loader/1.0
uri,/images/cutscroll.png,HIGH,10876,Trickbot beacon disguised as image — UA WinHTTP loader/1.0
uri,/ico/viodifot,HIGH,4776,Trickbot module fetch — random-looking path fetched repeatedly
uri,/logo?hour=true,HIGH,23179,Cobalt Strike HTTP beacon poll — high-frequency GET to antivirusupdaty.com
uri,/as,HIGH,23758,Cobalt Strike HTTP POST exfil/task-response channel
uri,/adhrdbh,MEDIUM,22993,Random-path probe — single GET possible initial beacon
useragent,WinHTTP loader/1.0,HIGH,10876,Trickbot loader UA — hard-coded non-standard string
useragent,Winhttp 1/0,HIGH,2910,Trickbot gtag C2 UA — used in POST check-ins
