ioc_id,ioc_type,ioc_value,threat_actor,malware_family,severity,confidence,first_frame,last_frame,packet_count,port,protocol,beacon_interval_s,direction,description,mitre_technique,mitre_tactic,notes
IOC-001,IP,192.236.155.230,Trickbot,Trickbot,CRITICAL,HIGH,3049,19069,6372,80,HTTP,,outbound,Primary Trickbot C2 server — highest packet volume external IP. Served fake image URIs masking C2 data. Used with WinHTTP loader/1.0 UA.,T1071.001,Command and Control,No SNI on port 80; all GET requests return binary payload disguised as PNG/ICO
IOC-002,IP,37.228.70.134,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,791,26477,952,443,TLS,~202,outbound,Primary Cobalt Strike C2 beacon — periodic TLS ClientHello with no SNI at ~202s intervals. Longest running C2 channel in PCAP (frames 791–26477 across full 80-minute window).,T1071.001,Command and Control,JA3: 6734f37431670b3ab4292b8f60f29984; No SNI; ~202s beacon cadence confirmed
IOC-003,IP,45.229.71.211,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,10885,26633,963,443,TLS,~202,outbound,Secondary Cobalt Strike C2 beacon — same JA3 and ~202s interval pattern as IOC-002. Active on DESKTOP-OG16DGY (10.5.26.4) post-lateral movement.,T1071.001,Command and Control,JA3: 6734f37431670b3ab4292b8f60f29984; Mirrors IOC-002 behavior; second C2 channel
IOC-004,IP,78.186.110.14,Trickbot,Trickbot,HIGH,HIGH,11430,19052,2246,447,TLS,,outbound,Trickbot C2 on non-standard port 447 (not 443). Large inbound data transfers observed (frames 11437 1407B; 11451–11457 multiple 1514B frames) indicating module download or config push.,T1071.001,Command and Control,Non-standard port 447 used to evade port-based filtering; JA3: 6734f37431670b3ab4292b8f60f29984
IOC-005,IP,91.83.88.122,Trickbot,Trickbot,HIGH,HIGH,1018,11078,2037,443,TLS,,outbound,Trickbot C2 — TLS with no SNI. Active early in infection timeline alongside 37.228.70.134. Likely Trickbot plugin download or botnet check-in.,T1071.001,Command and Control,JA3: 6734f37431670b3ab4292b8f60f29984; No SNI; co-active with IOC-002
IOC-006,IP,172.105.15.152,Trickbot,Trickbot,MEDIUM,MEDIUM,736,825,48,443,TLS,,outbound,Early Trickbot C2 contact — first TLS ClientHello in PCAP at frame 750. Likely initial beaconing/registration. Short-lived session.,T1071.001,Command and Control,JA3: 6734f37431670b3ab4292b8f60f29984; First external C2 contact in capture
IOC-007,IP,202.138.242.7,Trickbot,Trickbot,MEDIUM,MEDIUM,4883,11030,27,443,TLS,,outbound,Trickbot C2 — TLS no SNI. Low packet count suggests periodic check-in or failed connection attempt.,T1071.001,Command and Control,JA3: 6734f37431670b3ab4292b8f60f29984; No SNI
IOC-008,IP,5.199.162.3,Trickbot,Trickbot,HIGH,HIGH,22990,26644,2453,443,TLS,,outbound,TLS C2 to antivirusupdaty.com — fake antivirus update domain using suspicious Android Pixel C user-agent string. Persistent late-stage traffic suggesting exfil or module loading.,T1071.001,Command and Control,SNI: antivirusupdaty.com; Fake UA spoofing Android WebView; IOC-018 cross-reference
IOC-009,IP,36.95.27.243,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,2895,13213,28,443,HTTP,,outbound,Cobalt Strike staging/C2 — served malicious payloads via /rob87/ and /tot108/ URIs with bot ID and host fingerprint embedded in path. UA: 'Winhttp 1/0'.,T1105,Command and Control,Cobalt Strike malleable C2 profile pattern; URI includes hostname+hash; IOC-013 cross-reference
IOC-010,IP,103.102.220.50,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,3032,14663,40,443,HTTP,,outbound,Cobalt Strike staging/C2 — redundant C2 channel mirroring IOC-009 with identical URI patterns. Both IPs likely configured as team server listeners.,T1105,Command and Control,Duplicate C2 for redundancy; same URI schema as IOC-009; IOC-014 cross-reference
